optimizer,dataset,seed,min_sse
dual_annealing,dual_annealing_1,8,271324.59625377
cmaes,basin_hopping_3,8,52390.09546131
basin_hopping,pso_2,9,35437.98268941
pso,lshade_2,10,1106856.59520291
cmaes,dual_annealing_1,4,44270.55779725
dual_annealing,basin_hopping_1,10,811899.468688
dual_annealing,dual_annealing_2,9,39535.4218235
cmaes,dual_annealing_3,9,32988.60291434
lshade,basin_hopping_3,3,84944.45247913
cmaes,cmaes_1,5,983285.6170803
dual_annealing,basin_hopping_3,10,947876.28794181
basin_hopping,pso_2,6,35444.62489135
lshade,lshade_3,6,59014.93564108
basin_hopping,dual_annealing_2,5,35810.01870921
pso,pso_2,6,275085.15011325
cmaes,pso_1,4,49666.63128418
pso,dual_annealing_3,3,996876.58391625
cmaes,cmaes_1,9,57772.29105023
cmaes,basin_hopping_2,6,60971.31492403
cmaes,cmaes_3,1,46970.68686504
basin_hopping,basin_hopping_2,6,68104.81956299
basin_hopping,pso_1,7,49718.04595589
cmaes,cmaes_1,10,53940.48330194
lshade,basin_hopping_2,4,76585.28622496
cmaes,pso_3,9,914753.01392004
dual_annealing,dual_annealing_2,2,76691.07416986
lshade,cmaes_2,8,168086.6053426
dual_annealing,lshade_1,9,2625357.37143622
basin_hopping,lshade_3,4,79196.36510812
dual_annealing,pso_1,5,55472.67654908
pso,cmaes_2,5,1365175.45083098
cmaes,cmaes_3,3,46032.33642892
pso,cmaes_2,7,2962846.3742137
pso,lshade_2,6,1388347.2271408
basin_hopping,lshade_1,9,39866.79079544
lshade,lshade_1,8,50036.66882567
lshade,lshade_2,8,61022.82789026
basin_hopping,basin_hopping_3,2,86241.92762046
lshade,dual_annealing_2,6,77499.71432717
pso,lshade_3,10,1019887.32623983
basin_hopping,pso_1,3,48482.85120549
pso,lshade_2,7,2888455.11269899
lshade,lshade_1,9,57162.13772399
pso,cmaes_2,10,900658.72781807
basin_hopping,dual_annealing_2,3,87424.01192502
cmaes,dual_annealing_2,1,34940.6802168
cmaes,basin_hopping_1,1,36036.78732674
pso,pso_1,4,412130.55570142
pso,lshade_2,8,1577715.50909615
cmaes,basin_hopping_1,3,37650.36356722
cmaes,lshade_1,9,66109.21845826
basin_hopping,basin_hopping_1,9,79844.06775043
basin_hopping,dual_annealing_1,8,71324.70210147
basin_hopping,dual_annealing_1,6,44849.34991916
pso,lshade_2,4,3377404.50471543
cmaes,dual_annealing_2,8,35355.81866726
lshade,cmaes_1,9,116688.68323697
cmaes,cmaes_3,9,46948.84353348
lshade,pso_2,8,35418.01512636
basin_hopping,basin_hopping_3,3,313802.33735783
cmaes,basin_hopping_1,5,38778.76350089
lshade,cmaes_2,9,160494.92229633
pso,basin_hopping_3,1,3180874.90990293
basin_hopping,cmaes_1,7,114190.46557252
pso,dual_annealing_3,8,970664.74959315
basin_hopping,pso_2,10,35350.71560286
lshade,lshade_2,10,56390.23497492
lshade,lshade_2,7,50779.72857997
pso,cmaes_3,8,971611.28451649
lshade,pso_3,1,49173.08732491
pso,pso_3,9,1093335.34763066
lshade,pso_1,6,48715.36960483
cmaes,pso_2,3,35425.0912581
dual_annealing,lshade_3,9,207419.12253071
basin_hopping,pso_1,4,83218.24621795
basin_hopping,dual_annealing_1,5,43365.91703517
basin_hopping,cmaes_3,4,72068.00196772
lshade,basin_hopping_1,6,63872.564746
dual_annealing,pso_3,7,49853.88832726
cmaes,cmaes_2,2,333892.34964977
dual_annealing,dual_annealing_3,3,35266.48579542
dual_annealing,basin_hopping_1,4,231598.09737508
dual_annealing,cmaes_2,9,424634.69147418
lshade,dual_annealing_1,5,76048.64330072
cmaes,dual_annealing_1,10,41844.4019562
basin_hopping,basin_hopping_3,4,110624.96864373
basin_hopping,dual_annealing_2,2,229184.17233995
lshade,cmaes_1,1,135241.79243213
basin_hopping,pso_2,3,35676.10325265
dual_annealing,dual_annealing_1,2,563982.52168091
pso,dual_annealing_1,4,1538183.87992778
dual_annealing,dual_annealing_1,6,1087501.91071257
lshade,cmaes_1,6,121514.58810542
lshade,pso_3,10,51558.40689322
lshade,cmaes_2,3,165442.46422086
